+---+----------+---+---------------+--------------+----+---------+-------------+-------------+----------------------------------------+--------+----------------------------------------+-------+----------------------+-------------------------+--------------------------------+---------------------+--------+----+---------------+---+---+--------+--------+-------+-----------+--------+-------+------+-----+------+----------------------+----------+----------+-----------+-----------+------------------+--------------------------+
|_c0|fecha     |mes|clave_temporada|tiempo_ano_mes|ano |temporada|status_compra|sku          |sku_desc                                |id_madre|madre_desc                              |nivel_1|nivel_2               |nivel_3                  |nivel_4                         |grupo_analisis       |id_feria|fob |tipo_moneda    |pp |moq|tipo_moq|cond_moq|display|pais_origen|leadtime|volumen|peso  |inner|master|duracion              |fecha_ini |fecha_ter |fecha_ini_2|fecha_ter_2|SKU18             |id_producto               |
+---+----------+---+---------------+--------------+----+---------+-------------+-------------+----------------------------------------+--------+----------------------------------------+-------+----------------------+-------------------------+--------------------------------+---------------------+--------+----+---------------+---+---+--------+--------+-------+-----------+--------+-------+------+-----+------+----------------------+----------+----------+-----------+-----------+------------------+--------------------------+
|1  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000102740|SOFA DOMINICA, 0000, 0000               |10274   |SOFA DOMINICA                           |CASA   |MUEBLES               |ASIENTOS                 |SOFAS                           |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000102740|2018-01-000002000000102740|
|2  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000102832|SILLON DOMINICA, 0000, 0000             |10283   |SILLON DOMINICA                         |CASA   |MUEBLES               |ASIENTOS                 |SILLONES                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000102832|2018-01-000002000000102832|
|3  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000102849|MESA DOMINICA AUX, 0000, 0000           |10284   |MESA DOMINICA AUX                       |CASA   |MUEBLES               |MESAS                    |MESAS AUXILIARES                |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000102849|2018-01-000002000000102849|
|4  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |S            |2000000103914|NA                                      |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|Dólar americano|0  |NA |NA      |NA      |NA     |NA         |NA      |NA     |NA    |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000103914|2018-01-000002000000103914|
|5  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000104010|SOFA VILLA, 0000, 0000                  |10401   |SOFA VILLA                              |CASA   |MUEBLES               |ASIENTOS                 |SOFAS                           |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000104010|2018-01-000002000000104010|
|6  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000104027|SILLON VILLA, 0000, 0000                |10402   |SILLON VILLA                            |CASA   |MUEBLES               |ASIENTOS                 |SILLONES                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000104027|2018-01-000002000000104027|
|7  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000104034|MESA VILLA AUX, 0000, 0000              |10403   |MESA VILLA AUX                          |CASA   |MUEBLES               |MESAS                    |MESAS AUXILIARES                |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000104034|2018-01-000002000000104034|
|8  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000104041|SOFA TROPICO, 0000, 0000                |10404   |SOFA TROPICO                            |CASA   |MUEBLES               |ASIENTOS                 |SOFAS                           |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000104041|2018-01-000002000000104041|
|9  |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |NA           |2000000104430|NA                                      |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0.018 |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000104430|2018-01-000002000000104430|
|10 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |NA           |2000000104546|Macetero L circular has                 |95040   |Macetero L circular has                 |CASA   |ESTAR                 |ADORNOS                  |JARRONES Y VASIJAS              |SIN GRUPO DE ANALISIS|0       |4.05|NA             |0  |0  |NA      |NA      |NA     |NA         |NA      |NA     |0     |1    |3     |10 meses              |NA        |9999-12-31|NA         |NA         |000002000000104546|2018-01-000002000000104546|
|11 |2018-01-01|1  |2018VERANO 3   |2018-01       |2018|VERANO 3 |N            |2000000105628|SILLON TROPICO, 0000, 0000              |10562   |SILLON TROPICO                          |CASA   |MUEBLES               |ASIENTOS                 |SILLONES                        |SIN GRUPO DE ANALISIS|NA      |4.05|NA             |0  |0  |NA      |NA      |0      |NA         |NA      |NA     |0     |1    |1     |Sin ingresar/No aplica|NA        |9999-12-31|NA         |NA         |000002000000105628|2018-01-000002000000105628|
